date,Private Credit,Private Equity,Private Real Estate,Private Real Asset
6/30/21,5.444440691,12.5895463,5.931843462,4.760969988
7/31/21,,,,
8/31/21,,,,
9/30/21,4.37032409,3.716271945,7.818167933,3.104478433
10/31/21,,,,
11/30/21,,,,
12/31/21,4.247187217,7.074207034,7.364581304,6.026255705
1/31/22,,,,
2/28/22,,,,
3/31/22,1.332528417,0.046683855,4.495975722,8.265334906
4/30/22,,,,
5/31/22,,,,
6/30/22,-1.297569056,-2.126305743,1.469427697,5.184571354
7/31/22,,,,
8/31/22,,,,
9/30/22,1.713579084,-1.8203489,-0.273763785,3.404297796
10/31/22,,,,
11/30/22,,,,
12/31/22,3.05679384,2.239267189,1.491117246,0.109163841
1/31/23,,,,
2/28/23,,,,
3/31/23,2.909948879,2.112501214,-0.235135011,1.610033698
4/30/23,,,,
5/31/23,,,,
6/30/23,2.449642448,2.391221616,0.050834925,1.829085266
7/31/23,,,,
8/31/23,,,,
9/30/23,2.287168147,2.118565322,-0.81910422,0.556284086
